Covidence #,Study ID,Title,Reviewer Name,DOI,Title,Lead author contact details,Year,Pages,"Notes (e.g., Why does the paper not fit the framework?)",FunVsUtility,PlayVsGame,SkillVsChance,SocialVsSolo,SequentialVsSimultaneous,SynchronousVsAsynchronous,CompetitiveVsCollaborative,SymmeticalVsAsymmetrical,Experiential Play Value Classification,"Study funding sources (e.g., NSF, NIH, EU Grant)",study_char_methods,study_char_interview,study_char_workshop,study_char_field_study,study_char_usability,study_char_modality,study_char_context,Community of focus,Participant Groups,User involvement,Use of proxies,Method of recruitment of participants,study_char_issue,Contribution type,Total Number of Participants:,Disabled Total,Specialist Total,Without Disability Total,Older adults Total,Caregivers Total,Other Total,Gender (number of participants):,Male Disabled,"Male Specialist (e.g., Therapist)",Male Without disability,Male Older adults,Male Caregivers,Male Other,Female Disabled,"Female Specialist (e.g., Therapist)",Female Without disability,Female Older adults,Female Caregivers,Female Other,MTF transgender Disabled,"MTF transgender Specialist (e.g., Therapist)",MTF transgender Without disability,MTF transgender Older adults,MTF transgender Caregivers,MTF transgender Other,FTM transgender Disabled,"FTM transgender Specialist (e.g., Therapist)",FTM transgender Without disability,FTM transgender Older adults,FTM transgender Caregivers,FTM transgender Other,"Non-binary, genderqueer, fluid Disabled","Non-binary, genderqueer, fluid Specialist (e.g., Therapist)","Non-binary, genderqueer, fluid Without disability","Non-binary, genderqueer, fluid Older adults","Non-binary, genderqueer, fluid Caregivers","Non-binary, genderqueer, fluid Other",Other Disabled,"Other Specialist (e.g., Therapist)",Other Without disability,Other Older adults,Other Caregivers,Other Other,Sexual orientation (number of participants):,Heterosexual / Straight Disabled,"Heterosexual / Straight Specialist (e.g., Therapist)",Heterosexual / Straight Without disability,Heterosexual / Straight Older adults,Heterosexual / Straight Caregivers,Heterosexual / Straight Other,Gay / Lesbian Disabled,"Gay / Lesbian Specialist (e.g., Therapist)",Gay / Lesbian Without disability,Gay / Lesbian Older adults,Gay / Lesbian Caregivers,Gay / Lesbian Other,Bisexual Disabled,"Bisexual Specialist (e.g., Therapist)",Bisexual Without disability,Bisexual Older adults,Bisexual Caregivers,Bisexual Other,Pansexual Disabled,"Pansexual Specialist (e.g., Therapist)",Pansexual Without disability,Pansexual Older adults,Pansexual Caregivers,Pansexual Other,Asexual Disabled,"Asexual Specialist (e.g., Therapist)",Asexual Without disability,Asexual Older adults,Asexual Caregivers,Asexual Other,Other Disabled,"Other Specialist (e.g., Therapist)",Other Without disability,Other Older adults,Other Caregivers,Other Other,Participant Ages (number of participants):,0-2 (Infant/Toddler) Disability,"0-2 (Infant/Toddler) Specialist (e.g., Therapist)",0-2 (Infant/Toddler) Without disability,0-2 (Infant/Toddler) Older adults,0-2 (Infant/Toddler) Casegivers,0-2 (Infant/Toddler) Other,3-6 (Early Childhood) Disability,"3-6 (Early Childhood) Specialist (e.g., Therapist)",3-6 (Early Childhood) Without disability,3-6 (Early Childhood) Older adults,3-6 (Early Childhood) Casegivers,3-6 (Early Childhood) Other,6-12  (Middle Childhood) Disability,"6-12  (Middle Childhood) Specialist (e.g., Therapist)",6-12  (Middle Childhood) Without disability,6-12  (Middle Childhood) Older adults,6-12  (Middle Childhood) Casegivers,6-12  (Middle Childhood) Other,13-17 (Adolescence) Disability,"13-17 (Adolescence) Specialist (e.g., Therapist)",13-17 (Adolescence) Without disability,13-17 (Adolescence) Older adults,13-17 (Adolescence) Casegivers,13-17 (Adolescence) Other,18-25 (Emerging Adulthood) Disability,"18-25 (Emerging Adulthood) Specialist (e.g., Therapist)",18-25 (Emerging Adulthood) Without disability,18-25 (Emerging Adulthood) Older adults,18-25 (Emerging Adulthood) Casegivers,18-25 (Emerging Adulthood) Other,26-40 (Early Adulthood) Disability,"26-40 (Early Adulthood) Specialist (e.g., Therapist)",26-40 (Early Adulthood) Without disability,26-40 (Early Adulthood) Older adults,26-40 (Early Adulthood) Casegivers,26-40 (Early Adulthood) Other,40-65 (Middle Adulthood) Disability,"40-65 (Middle Adulthood) Specialist (e.g., Therapist)",40-65 (Middle Adulthood) Without disability,40-65 (Middle Adulthood) Older adults,40-65 (Middle Adulthood) Casegivers,40-65 (Middle Adulthood) Other,>66 (Late Adulthood) Disability,">66 (Late Adulthood) Specialist (e.g., Therapist)",>66 (Late Adulthood) Without disability,>66 (Late Adulthood) Older adults,>66 (Late Adulthood) Casegivers,>66 (Late Adulthood) Other,"Adult (Over 18, but undisclosed age) Disability","Adult (Over 18, but undisclosed age) Specialist (e.g., Therapist)","Adult (Over 18, but undisclosed age) Without disability","Adult (Over 18, but undisclosed age) Older adults","Adult (Over 18, but undisclosed age) Casegivers","Adult (Over 18, but undisclosed age) Other","Minor (Under 18, but undisclosed age) Disability","Minor (Under 18, but undisclosed age) Specialist (e.g., Therapist)","Minor (Under 18, but undisclosed age) Without disability","Minor (Under 18, but undisclosed age) Older adults","Minor (Under 18, but undisclosed age) Casegivers","Minor (Under 18, but undisclosed age) Other",Primary Country,Secondary Countries (Comma separated)
963,Kamel 2000,A study of blind drawing practice: creating graphical information without the visual channel,Consensus,10.1145/354324.354334,A study of blind drawing practice: creating graphical information without the visual channel,Hesham M. Kamel,2000,8,N/A,"Totally fun first (i.e., Entertainment game reappropriated)","Unstructured play (i.e., no rules, making art)","Entirely skill-based (i.e., trivia, sports)","Entirely Solo (i.e., Solitaire)","Entirely Simultaneous (i.e., race)","Entirely Synchronous (i.e., RTS game)","Entirely Competitive (i.e., Spit card game)","Mostly Symmetrical (i.e., Uno)","Construction (i.e., Music, painting, building)",N/A,Field study; Usability testing,Not applicable,Not Applicable,Ethnography,Exert analysis,Tangible Interface; PC,"School; Disability community space (i.e., Day program)",Blind or low vision (BLV),People with disabilities,Participatory design with stakeholders with disabilities; User evaluation with stakeholders with disabilities,No,"Convienience sampling (i.e., Day program)",Increasing digital access; Increasing understanding of users; Increasing opportunities for enrichment ,Empirical; Artifact,,5,0,0,0,0,0,,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,N/A
924,Hine 2002,Assistive social interaction for non-speaking people living in the community,Consensus,10.1145/638249.638279,Assistive social interaction for non-speaking people living in the community,Nick Hine,2002,8,N/A,"Mostly fun first (i.e., Design workshop with disabled stakeholders)","Semi-structured play (i.e., playground game)","Entirely skill-based (i.e., trivia, sports)","Mostly social, but aspects are independent (i.e., House on Hill haunt transition)","Follows a set of steps (i.e., Viticulture's dynamic turn ordering)","Entirely asynchrounous (i.e., postage mail)","Entirely Collaborative (i.e., Pandemic)","Both Symetrical and Asymetrical (i.e., Pandemic—similar turn structure with different character abilities)","Sensory (i.e., kaleidoscope); Construction (i.e., Music, painting, building); Challenge (Testing physical or mental abilities against others or self)","UKERNA, EU",No data collected,Not applicable,Not Applicable,Not Applicable,Not Applicable,PC,Home,Communication / Speech; Older adult,No user involvement,No representative user involvement,No,No user involvement,Increasing independence; Increasing digital access; Supporting communication; Increasing opportunities for enrichment ,Artifact,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Scotland,N/A
905,Kamel 2002,Sketching images eyes-free: a grid-based dynamic drawing tool for the blind,Consensus,10.1145/638249.638258,Sketching images eyes-free: a grid-based dynamic drawing tool for the blind,Hesham M. Kamel,2002,8,N/A,"Mostly fun first (i.e., Design workshop with disabled stakeholders)","Semi-structured play (i.e., playground game)","Entirely skill-based (i.e., trivia, sports)","Entirely Solo (i.e., Solitaire)","Most actions can be taken at any time, but there are some phases (i.e., PvP death reset timer)","Entirely Synchronous (i.e., RTS game)","Entirely Competitive (i.e., Spit card game)","Both Symetrical and Asymetrical (i.e., Pandemic—similar turn structure with different character abilities)","Construction (i.e., Music, painting, building)",N/A,Field study; Usability testing,Not applicable,Not Applicable,Ethnography,Exert analysis,Tangible Interface; PC,"Disability community space (i.e., Day program); Unknown",Blind or low vision (BLV),People with disabilities; People without disabilities,User evaluation with stakeholders without disabilities; User evaluation with stakeholders with disabilities,No,Undisclosed,Increasing digital access; Increasing opportunities for enrichment ,Artifact,,8,0,8,0,0,0,,N/A,0,N/A,0,0,0,N/A,0,N/A,0,0,0,N/A,0,N/A,0,0,0,N/A,0,N/A,0,0,0,N/A,0,N/A,0,0,0,N/A,0,N/A,0,0,0,,N/A,0,N/A,0,0,0,N/A,0,N/A,0,0,0,N/A,0,N/A,0,0,0,N/A,0,N/A,0,0,0,N/A,0,N/A,0,0,0,N/A,0,N/A,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,USA,N/A
889,Sporka 2013,Toward accessible technology for music composers and producers with motor disabilities,Consensus,10.1145/2513383.2513412,Toward accessible technology for music composers and producers with motor disabilities,Adam J. Sporka,2013,2,,Not Applicable ,Not Applicable,Not Applicable,Not Applicable ,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable ,"Ministry of Education, Youth and Sports of the Czech Republic",Interview,Semi-structured interview,Not Applicable,Not Applicable,Not Applicable,No Technology,Unknown,Motor of physical impairment,People with disabilities,Not applicable,No,Undisclosed,Increasing digital access; Increasing understanding of users,Empirical,,3,0,0,0,0,0,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0
",0,0,0,0,0,0,0,0,0,,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,"0
",0,0,0,N/A,0,"0
",0,0,0,,N/A,0,0,0,0,0,N/A,0,0,0,"0
",0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,3,0,0,0,0,0,N/A,0,0,0,0,0,Prague,USA
874,Jayant 2011,Supporting blind photography,Consensus,10.1145/2049536.2049573,Supporting blind photography,Chandrika Jayant,2011,8,N/A,"Totally fun first (i.e., Entertainment game reappropriated)","Unstructured play (i.e., no rules, making art)","Mostly skill-based (i.e.,  Mario Cart)","Mostly Solo, but can play against AI (i.e., Single player StarCraft)","Most actions can be taken at any time, but there are some phases (i.e., PvP death reset timer)","Mostly Synchronous with few asychronous affordances (i.e., League of Legends)",Not Applicable,"Entirely Symetrical (i.e., Tik tac toe)","Construction (i.e., Music, painting, building)","Google, NSF",Interview; Usability testing; Survey,Structured interview,Not Applicable,Not Applicable,Exert analysis,Mobile,Research lab,Blind or low vision (BLV),People with disabilities,User evaluation with stakeholders with disabilities,No,Undisclosed,Increasing independence; Increasing digital access; Increasing understanding of users,Empirical; Artifact; Survey,,154,0,0,0,0,0,,67,0,0,0,0,0,59,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,USA,N/A
850,Harada 2007,Voicedraw: a hands-free voice-driven drawing application for people with motor impairments,Consensus,10.1145/1296843.1296850,Voicedraw: a hands-free voice-driven drawing application for people with motor impairments,Susumu Harada,2007,8,N/A,"Mostly fun first (i.e., Design workshop with disabled stakeholders)","Unstructured play (i.e., no rules, making art)","Entirely skill-based (i.e., trivia, sports)","Entirely Solo (i.e., Solitaire)","Follows a set of steps (i.e., Viticulture's dynamic turn ordering)","Entirely Synchronous (i.e., RTS game)","Entirely Competitive (i.e., Spit card game)","Entirely Symetrical (i.e., Tik tac toe)","Construction (i.e., Music, painting, building); Challenge (Testing physical or mental abilities against others or self)",NSF,Interview; Workshop or design session; Field study,Semi-structured interview,Brainstormming,Ethnography; Cultural,Not Applicable,Assistive Device; PC,School; Research lab,Motor of physical impairment,People with disabilities,Participatory design with stakeholders with disabilities; User evaluation with stakeholders with disabilities,No,Undisclosed,Increasing digital access; Increasing opportunities for enrichment ,Empirical; Artifact,,1,0,99,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,USA,N/A
840,Hornof 2003,Eyedraw: a system for drawing pictures with eye movements,Consensus,10.1145/1028630.1028647,Eyedraw: a system for drawing pictures with eye movements,Anthony Hornof,2003,8,N/A,"Totally fun first (i.e., Entertainment game reappropriated)","Unstructured play (i.e., no rules, making art)","Entirely skill-based (i.e., trivia, sports)","Entirely Solo (i.e., Solitaire)","Most actions can be taken at any time, but there are some phases (i.e., PvP death reset timer)","Entirely Synchronous (i.e., RTS game)","Entirely Competitive (i.e., Spit card game)","Entirely Symetrical (i.e., Tik tac toe)","Construction (i.e., Music, painting, building)","National Science Foundation, Office of Naval Research",Interview; Controlled experiment; Survey,Not applicable,Not Applicable,Not Applicable,Not Applicable,PC,Research lab,Motor of physical impairment,People without disabilities,User evaluation with stakeholders without disabilities,No,Undisclosed,Increasing digital access; Education; Increasing opportunities for enrichment ,Artifact,,0,0,10,0,0,0,,6,0,6,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0
",0,,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,USA,N/A
838,Biemans 2009,"Let's stay in touch: sharing photos for restoring social connectedness between rehabilitants, friends and family",Consensus,10.1145/1639642.1639674,"Let's stay in touch: sharing photos for restoring social connectedness between rehabilitants, friends and family",Margit Biemans,2009,8,N/A,"Mostly utility first (i.e., primary utilitarian mechanic designed first)","Unstructured play (i.e., no rules, making art)","Entirely skill-based (i.e., trivia, sports)","Mostly social, but aspects are independent (i.e., House on Hill haunt transition)","Entirely Simultaneous (i.e., race)","Entirely asynchrounous (i.e., postage mail)","Entirely Collaborative (i.e., Pandemic)","Mostly Symmetrical (i.e., Uno)","Sensory (i.e., kaleidoscope)",N/A,Interview; Field study; Case study,Structured interview,Not Applicable,Cultural,Not Applicable,Mobile; IoT,Clinic; Home,Motor of physical impairment,"People with disabilities; Specialists (e.g., therapists, teachers); People without disabilities",User evaluation with stakeholders with disabilities,No,Clinic,Increasing understanding of users; Supporting communication; Increasing opportunities for enrichment ,Empirical; Artifact,,4,5,0,0,0,0,,1,N/A,0,0,0,0,3,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,,N/A,N/A,0,0,0,0,N/A,N/A,0,0,0,0,N/A,N/A,0,0,0,0,N/A,N/A,0,0,0,0,N/A,N/A,0,0,0,0,N/A,N/A,0,0,0,0,,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,1,N/A,0,0,0,0,3,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,0,N/A,0,0,0,0,Netherlands,N/A
826,Kurze 1996,TDraw: a computer-based tactile drawing tool for blind people,Consensus,10.1145/228347.228368,TDraw: a computer-based tactile drawing tool for blind people,Martin Kurze,1996,8,,"Totally fun first (i.e., Entertainment game reappropriated)","Unstructured play (i.e., no rules, making art)","Entirely skill-based (i.e., trivia, sports)","Entirely Solo (i.e., Solitaire)","Entirely Simultaneous (i.e., race)","Entirely Synchronous (i.e., RTS game)","Entirely Competitive (i.e., Spit card game)","Entirely Symetrical (i.e., Tik tac toe)","Construction (i.e., Music, painting, building)",,Usability testing; Controlled experiment,Not applicable,Not Applicable,Not Applicable,Exert analysis,Tangible Interface,Research lab,Blind or low vision (BLV),People with disabilities,User evaluation with stakeholders with disabilities,No,Undisclosed,Increasing understanding of users,Artifact,,5,0,0,0,0,0,,5,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Germany,
823,Fell 2003,visiBabble for reinforcement of early vocalization,Consensus,10.1145/1028630.1028659,visiBabble for reinforcement of early vocalization,Harriet Fell,2004,8,,"Mostly utility first (i.e., primary utilitarian mechanic designed first)","Unstructured play (i.e., no rules, making art)","Entirely skill-based (i.e., trivia, sports)","Entirely Solo (i.e., Solitaire)","Entirely Simultaneous (i.e., race)","Entirely Synchronous (i.e., RTS game)","Entirely Collaborative (i.e., Pandemic)","Entirely Symetrical (i.e., Tik tac toe)","Sensory (i.e., kaleidoscope)",NIH,Field study,Not applicable,Not Applicable,Ethnography,Not Applicable,PC,Home,Communication / Speech,People with disabilities,Not applicable,No,Undisclosed,Supporting communication; Personal informatics and changing behavior,Empirical; Artifact,,6,0,0,0,0,0,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,USA,N/A
